iter	Passed	Remaining
0	56	56495
1	56	28381
2	57	19004
3	57	14306
4	57	11488
5	58	9609
6	58	8267
7	58	7261
8	58	6476
9	59	5851
10	59	5339
11	59	4913
12	59	4550
13	60	4241
14	60	3971
15	60	3735
16	61	3528
17	61	3342
18	61	3177
19	61	3027
20	62	2895
21	62	2773
22	62	2663
23	62	2560
24	63	2466
25	64	2403
26	64	2321
27	64	2245
28	65	2176
29	65	2110
30	65	2047
31	65	1988
32	65	1933
33	66	1881
34	66	1832
35	66	1786
36	67	1744
37	67	1703
38	67	1664
39	67	1626
40	68	1592
41	68	1559
42	68	1528
43	68	1497
44	69	1469
45	69	1441
46	69	1414
47	70	1388
48	70	1363
49	70	1346
50	71	1324
51	71	1301
52	71	1280
53	71	1260
54	72	1240
55	72	1221
56	72	1202
57	72	1184
58	73	1167
59	73	1150
60	73	1135
61	74	1119
62	74	1104
63	74	1090
64	74	1076
65	75	1062
66	75	1049
67	75	1036
68	75	1025
69	76	1013
70	76	1000
71	76	989
72	76	977
73	77	966
74	77	956
75	77	945
76	78	935
77	78	925
78	78	915
79	78	905
80	79	896
81	79	887
82	79	876
83	79	868
84	79	859
85	80	851
86	80	842
87	80	835
88	80	827
89	81	819
90	81	812
91	81	804
92	81	797
93	81	790
94	82	783
95	82	776
96	82	769
97	82	763
98	83	756
99	83	750
100	83	743
101	83	738
102	84	732
103	84	727
104	84	722
105	84	716
106	85	711
107	85	706
108	85	701
109	86	696
110	86	691
111	86	687
112	86	682
113	87	677
114	87	672
115	87	668
116	87	663
117	88	658
118	88	654
119	88	650
120	88	645
121	89	640
122	89	636
123	89	632
124	89	628
125	89	624
126	90	619
127	90	615
128	90	611
129	90	608
130	91	604
131	91	600
132	91	597
133	91	593
134	92	589
135	92	586
136	92	582
137	92	579
138	93	576
139	93	573
140	93	569
141	93	565
142	93	562
143	94	559
144	94	556
145	94	552
146	94	550
147	95	547
148	95	544
149	95	541
150	95	538
151	96	535
152	96	532
153	96	530
154	96	527
155	96	524
156	97	521
157	97	519
158	97	516
159	97	513
160	97	510
161	98	507
162	98	505
163	98	503
164	98	500
165	99	497
166	99	495
167	99	493
168	99	490
169	100	488
170	100	486
171	100	483
172	100	481
173	100	479
174	101	476
175	101	474
176	101	472
177	101	470
178	102	468
179	102	466
180	102	464
181	102	462
182	103	460
183	103	458
184	103	456
185	103	454
186	104	452
187	104	450
188	104	448
189	104	446
190	105	444
191	105	442
192	105	441
193	105	439
194	106	437
195	106	435
196	106	434
197	106	432
198	107	430
199	107	428
200	107	427
201	107	425
202	108	424
203	108	422
204	108	421
205	108	419
206	109	417
207	109	416
208	109	414
209	109	413
210	110	411
211	110	409
212	110	408
213	110	406
214	110	405
215	111	403
216	111	402
217	111	400
218	112	399
219	112	397
220	112	396
221	112	395
222	113	393
223	113	392
224	113	390
225	113	389
226	114	388
227	114	386
228	114	385
229	114	384
230	114	382
231	115	381
232	115	380
233	115	378
234	115	377
235	116	376
236	116	374
237	116	373
238	116	372
239	117	370
240	117	369
241	117	368
242	117	367
243	118	365
244	118	364
245	118	363
246	118	362
247	119	361
248	119	360
249	119	358
250	119	357
251	120	356
252	120	355
253	120	354
254	120	352
255	121	351
256	121	350
257	121	349
258	121	348
259	122	347
260	122	346
261	122	345
262	122	344
263	123	343
264	123	342
265	123	341
